,Nordost;CHL_mean,Nordost;CHL_mean_tres_5,Nordost;CHL_standard_deviation,Nordost;CHL_standard_deviation_tres_5,Nordost;CHL_minimum,Nordost;CHL_minimum_tres_5,Nordost;CHL_maximum,Nordost;CHL_maximum_tres_5,Nordost;CHL_median,Nordost;CHL_median_tres_5,Nordost;CHL_percentile_standard_deviation,Nordost;CHL_percentile_standard_deviation_tres_5,Nordost;CHL_percentile_3,Nordost;CHL_percentile_3_tres_5,Nordost;CHL_percentile_97,Nordost;CHL_percentile_97_tres_5,Nordost;CHL_count,Nordost;CHL_count_tres_5,Nordost;CHL,Nordost;CHL_tres_5,Nordost;CHL_error,Nordost;CHL_error_tres_5,Korall;CHL_mean,Korall;CHL_mean_tres_5,Korall;CHL_standard_deviation,Korall;CHL_standard_deviation_tres_5,Korall;CHL_minimum,Korall;CHL_minimum_tres_5,Korall;CHL_maximum,Korall;CHL_maximum_tres_5,Korall;CHL_median,Korall;CHL_median_tres_5,Korall;CHL_percentile_standard_deviation,Korall;CHL_percentile_standard_deviation_tres_5,Korall;CHL_percentile_3,Korall;CHL_percentile_3_tres_5,Korall;CHL_percentile_97,Korall;CHL_percentile_97_tres_5,Korall;CHL_count,Korall;CHL_count_tres_5,Korall;CHL,Korall;CHL_tres_5,Korall;CHL_error,Korall;CHL_error_tres_5,Tasman;CHL_mean,Tasman;CHL_mean_tres_5,Tasman;CHL_standard_deviation,Tasman;CHL_standard_deviation_tres_5,Tasman;CHL_minimum,Tasman;CHL_minimum_tres_5,Tasman;CHL_maximum,Tasman;CHL_maximum_tres_5,Tasman;CHL_median,Tasman;CHL_median_tres_5,Tasman;CHL_percentile_standard_deviation,Tasman;CHL_percentile_standard_deviation_tres_5,Tasman;CHL_percentile_3,Tasman;CHL_percentile_3_tres_5,Tasman;CHL_percentile_97,Tasman;CHL_percentile_97_tres_5,Tasman;CHL_count,Tasman;CHL_count_tres_5,Tasman;CHL,Tasman;CHL_tres_5,Tasman;CHL_error,Tasman;CHL_error_tres_5,Süden;CHL_mean,Süden;CHL_mean_tres_5,Süden;CHL_standard_deviation,Süden;CHL_standard_deviation_tres_5,Süden;CHL_minimum,Süden;CHL_minimum_tres_5,Süden;CHL_maximum,Süden;CHL_maximum_tres_5,Süden;CHL_median,Süden;CHL_median_tres_5,Süden;CHL_percentile_standard_deviation,Süden;CHL_percentile_standard_deviation_tres_5,Süden;CHL_percentile_3,Süden;CHL_percentile_3_tres_5,Süden;CHL_percentile_97,Süden;CHL_percentile_97_tres_5,Süden;CHL_count,Süden;CHL_count_tres_5,Süden;CHL,Süden;CHL_tres_5,Süden;CHL_error,Süden;CHL_error_tres_5,Südozean;CHL_mean,Südozean;CHL_mean_tres_5,Südozean;CHL_standard_deviation,Südozean;CHL_standard_deviation_tres_5,Südozean;CHL_minimum,Südozean;CHL_minimum_tres_5,Südozean;CHL_maximum,Südozean;CHL_maximum_tres_5,Südozean;CHL_median,Südozean;CHL_median_tres_5,Südozean;CHL_percentile_standard_deviation,Südozean;CHL_percentile_standard_deviation_tres_5,Südozean;CHL_percentile_3,Südozean;CHL_percentile_3_tres_5,Südozean;CHL_percentile_97,Südozean;CHL_percentile_97_tres_5,Südozean;CHL_count,Südozean;CHL_count_tres_5,Südozean;CHL,Südozean;CHL_tres_5,Südozean;CHL_error,Südozean;CHL_error_tres_5,Komplette Domäne;CHL_mean,Komplette Domäne;CHL_mean_tres_5,Komplette Domäne;CHL_standard_deviation,Komplette Domäne;CHL_standard_deviation_tres_5,Komplette Domäne;CHL_minimum,Komplette Domäne;CHL_minimum_tres_5,Komplette Domäne;CHL_maximum,Komplette Domäne;CHL_maximum_tres_5,Komplette Domäne;CHL_median,Komplette Domäne;CHL_median_tres_5,Komplette Domäne;CHL_percentile_standard_deviation,Komplette Domäne;CHL_percentile_standard_deviation_tres_5,Komplette Domäne;CHL_percentile_3,Komplette Domäne;CHL_percentile_3_tres_5,Komplette Domäne;CHL_percentile_97,Komplette Domäne;CHL_percentile_97_tres_5,Komplette Domäne;CHL_count,Komplette Domäne;CHL_count_tres_5,Komplette Domäne;CHL,Komplette Domäne;CHL_tres_5,Komplette Domäne;CHL_error,Komplette Domäne;CHL_error_tres_5,time,Nordost;CHL_mean_5,Nordost;CHL_standard_deviation_5,Nordost;CHL_minimum_5,Nordost;CHL_maximum_5,Nordost;CHL_median_5,Nordost;CHL_percentile_standard_deviation_5,Nordost;CHL_percentile_3_5,Nordost;CHL_percentile_97_5,Nordost;CHL_count_5,Korall;CHL_mean_5,Korall;CHL_standard_deviation_5,Korall;CHL_minimum_5,Korall;CHL_maximum_5,Korall;CHL_median_5,Korall;CHL_percentile_standard_deviation_5,Korall;CHL_percentile_3_5,Korall;CHL_percentile_97_5,Korall;CHL_count_5,Tasman;CHL_mean_5,Tasman;CHL_standard_deviation_5,Tasman;CHL_minimum_5,Tasman;CHL_maximum_5,Tasman;CHL_median_5,Tasman;CHL_percentile_standard_deviation_5,Tasman;CHL_percentile_3_5,Tasman;CHL_percentile_97_5,Tasman;CHL_count_5,Süden;CHL_mean_5,Süden;CHL_standard_deviation_5,Süden;CHL_minimum_5,Süden;CHL_maximum_5,Süden;CHL_median_5,Süden;CHL_percentile_standard_deviation_5,Süden;CHL_percentile_3_5,Süden;CHL_percentile_97_5,Süden;CHL_count_5,Südozean;CHL_mean_5,Südozean;CHL_standard_deviation_5,Südozean;CHL_minimum_5,Südozean;CHL_maximum_5,Südozean;CHL_median_5,Südozean;CHL_percentile_standard_deviation_5,Südozean;CHL_percentile_3_5,Südozean;CHL_percentile_97_5,Südozean;CHL_count_5,Komplette Domäne;CHL_mean_5,Komplette Domäne;CHL_standard_deviation_5,Komplette Domäne;CHL_minimum_5,Komplette Domäne;CHL_maximum_5,Komplette Domäne;CHL_median_5,Komplette Domäne;CHL_percentile_standard_deviation_5,Komplette Domäne;CHL_percentile_3_5,Komplette Domäne;CHL_percentile_97_5,Komplette Domäne;CHL_count_5,Nordost;CHL_5,Nordost;CHL_error_5,Korall;CHL_5,Korall;CHL_error_5,Tasman;CHL_5,Tasman;CHL_error_5,Süden;CHL_5,Süden;CHL_error_5,Südozean;CHL_5,Südozean;CHL_error_5,Komplette Domäne;CHL_5,Komplette Domäne;CHL_error_5
0,0.28127745,,0.12750411,,0.12701605,,0.96934575,,0.27667508,,0.0987162,,0.1558912,,0.5967463,,170.43495,,0.24913204,,0.08201905250549317,,0.11592425,,0.03623932,,0.06091717,,0.27616447,,0.116025016,,0.031490292,,0.07225143,,0.19520912,,131.07083,,0.117179915,,0.04297899723052979,,0.21799067,,0.10166707,,0.10273904,,0.7805601,,0.211835,,0.073222615,,0.12653935,,0.45668548,,125.66876,,0.22880559,,0.07880805015563964,,0.18716194,,0.076133,,0.088386655,,0.5811764,,0.18528756,,0.056492243,,0.10965836,,0.35840258,,105.922646,,0.23840268,,0.07437926292419433,,0.149798,,0.053520862,,0.08723641,,0.32963237,,0.15035719,,0.045492914,,0.09525107,,0.26696655,,36.12614,,0.19484806,,0.11295050621032715,,0.16977187,,0.0668604,,0.08719154,,0.48114374,,0.16826633,,0.05291771,,0.10226206,,0.322709,,92.694435,,0.1938676,,0.08339679718017579,,2009-06-01,0.2909095287322998,0.13217315077781677,0.13117489218711853,1.006601333618164,0.2862766683101654,0.10216692835092545,0.1609077751636505,0.6182495355606079,171.46176147460938,0.16106434166431427,0.057762712240219116,0.0808667540550232,0.4651409089565277,0.16071194410324097,0.04470415413379669,0.09904428571462631,0.289093017578125,152.17007446289062,0.19194425642490387,0.07177896797657013,0.10393673181533813,0.5918792486190796,0.18610544502735138,0.051460567861795425,0.1245918720960617,0.36542224884033203,141.33892822265625,0.5913777351379395,0.3987303376197815,0.23371973633766174,2.9690043926239014,0.5886899828910828,0.21930310130119324,0.30897000432014465,1.5179553031921387,139.63385009765625,,,,,,,,,,0.24729184806346893,0.10994893312454224,0.11529792100191116,0.8490209579467773,0.24390269815921783,0.08138005435466766,0.14176316559314728,0.5121974349021912,160.24449157714844,0.2575470209121704,0.08510207567872839,0.17364981770515442,0.05950648121503832,0.23140117526054382,0.07736505799800852,0.7455164194107056,0.23084096992008654,,,0.24466179311275482,0.08173497153093479
1,0.28240436,,0.12689489,,0.12745595,,0.9661775,,0.2781376,,0.09787371,,0.15661722,,0.595247,,169.67761,,0.24916887,,0.08339075088500976,,0.11636168,,0.03640908,,0.061358053,,0.27849805,,0.11647687,,0.031434387,,0.0726219,,0.19597147,,130.41669,,0.11723793,,0.0436257266998291,,0.2175946,,0.10137476,,0.102730244,,0.7827745,,0.21153452,,0.072932065,,0.12651674,,0.45359427,,124.35872,,0.24593502,,0.08428360939025879,,0.18745254,,0.076640196,,0.088628694,,0.57965547,,0.18542741,,0.056603223,,0.11017483,,0.36479115,,105.34808,,0.2229372,,0.07144628524780273,,0.14928879,,0.05245243,,0.08658919,,0.3264868,,0.14943789,,0.04435749,,0.09472489,,0.26463896,,36.276855,,0.21461096,,0.1237553310394287,,0.1699183,,0.06681229,,0.08710216,,0.48433945,,0.16828622,,0.052484546,,0.10235434,,0.322907,,92.66748,,0.20037417,,0.0862967872619629,,2009-06-02,0.2920602858066559,0.13157778978347778,0.13150304555892944,1.0037527084350586,0.28780296444892883,0.10131324827671051,0.1616237759590149,0.6163886785507202,170.7355194091797,0.16183006763458252,0.059050384908914566,0.08219201117753983,0.4785284996032715,0.1613001525402069,0.044832494109869,0.09949485212564468,0.29234665632247925,151.44039916992188,0.19328507781028748,0.07408563792705536,0.10467397421598434,0.6242236495018005,0.18759918212890625,0.05202781781554222,0.12531021237373352,0.36724674701690674,140.18240356445312,0.5942262411117554,0.41364985704421997,0.23293860256671906,2.808056116104126,0.5910443067550659,0.2312794178724289,0.31456324458122253,1.6997320652008057,141.58152770996094,,,,,,,,,,0.24840666353702545,0.1108732596039772,0.11595503985881805,0.8505386114120483,0.24515970051288605,0.08147057890892029,0.14256541430950165,0.5187991857528687,159.5515899658203,0.2599087655544281,0.08741660082176736,0.18082064390182495,0.0622191761826798,0.24344612658023834,0.08066769944254816,0.5634416341781616,0.1805229003832528,,,0.24344828724861145,0.08217284230436916
2,0.28318462,,0.12679851,,0.12778905,,0.97151196,,0.2789269,,0.09695777,,0.15751936,,0.5966617,,169.00769,,0.25167495,,0.08279940605163574,,0.11683972,,0.03636901,,0.06170205,,0.27767456,,0.11697689,,0.03152177,,0.07301785,,0.19607021,,129.48265,,0.11950339,,0.04547966480255127,,0.21726891,,0.10099015,,0.102920264,,0.7788283,,0.21134149,,0.07277525,,0.12637676,,0.45072216,,122.354,,0.25429633,,0.08690848350524902,,0.18727386,,0.07630663,,0.08861745,,0.57033634,,0.18532215,,0.056765735,,0.10994888,,0.36812133,,104.75028,,0.21167268,,0.07210315227508544,,0.14850223,,0.052333366,,0.08621452,,0.32805943,,0.14858174,,0.043625835,,0.09436145,,0.26288483,,36.28603,,0.21951175,,0.1257007312774658,,0.16980241,,0.06674177,,0.08705884,,0.48395854,,0.16819769,,0.052249003,,0.10232433,,0.32283485,,92.22751,,0.20271914,,0.0874415397644043,,2009-06-03,0.29292863607406616,0.13159911334514618,0.13177473843097687,1.010985016822815,0.2886311113834381,0.1003044992685318,0.1626392900943756,0.6184678673744202,170.19935607910156,0.16230487823486328,0.05832710489630699,0.08303000032901764,0.46971040964126587,0.16181056201457977,0.04490611329674721,0.1001041904091835,0.29060468077659607,150.4804229736328,0.1941700428724289,0.0747060626745224,0.10468015819787979,0.6163130402565002,0.18864823877811432,0.05279160290956497,0.12551937997341156,0.3691738247871399,138.32919311523438,0.597301185131073,0.4204190969467163,0.23539751768112183,2.81646728515625,0.5930591821670532,0.2365703284740448,0.3150343894958496,1.7289801836013794,140.50039672851562,,,,,,,,,,0.24923056364059448,0.11097647994756699,0.11644379049539566,0.8507394194602966,0.24595941603183746,0.08125875890254974,0.1433258205652237,0.5206034183502197,158.68565368652344,0.2601783573627472,0.08558786527416487,0.17467999458312988,0.061547637564353865,0.26223862171173096,0.08752730185880864,0.6082040071487427,0.18027051555019397,,,0.2457607239484787,0.08252646497694002
3,0.28397992,,0.12642238,,0.12857008,,0.97229016,,0.2796388,,0.09615234,,0.15844887,,0.59607005,,168.48138,,0.24356753,,0.08160639762878417,,0.11738397,,0.03599682,,0.062119313,,0.27061737,,0.11753174,,0.03157726,,0.073421165,,0.19720808,,128.72017,,0.12590759,,0.047223386764526365,,0.21727203,,0.101805106,,0.101875365,,0.78451663,,0.21148145,,0.07280604,,0.12620157,,0.44902876,,120.44387,,0.2634441,,0.09056799888610839,,0.1866563,,0.075633116,,0.08835705,,0.5649113,,0.18468384,,0.056069124,,0.1096541,,0.36767825,,105.39197,,0.19515225,,0.0684057378768921,,0.14908159,,0.05197802,,0.0865627,,0.32719862,,0.14924964,,0.04380856,,0.094828136,,0.26179606,,36.89807,,0.23775147,,0.1355627727508545,,0.17028038,,0.06662266,,0.08717448,,0.4828791,,0.16870776,,0.052216403,,0.10263787,,0.32274613,,92.21474,,0.2082197,,0.08993504524230957,,2009-06-04,0.29396918416023254,0.13131478428840637,0.1326320469379425,1.013060450553894,0.28957870602607727,0.09949811547994614,0.16363933682441711,0.6182385683059692,169.73387145996094,0.16310253739356995,0.056867565959692,0.08367276191711426,0.4409370422363281,0.16273224353790283,0.045122332870960236,0.10060136020183563,0.29467129707336426,149.2672882080078,0.19527924060821533,0.07532045245170593,0.10294550657272339,0.6174264550209045,0.18990595638751984,0.05376027524471283,0.12541760504245758,0.3709245026111603,136.8865203857422,0.5940948128700256,0.42043542861938477,0.2325056791305542,2.811842918395996,0.5895514488220215,0.22990690171718597,0.31132832169532776,1.7822322845458984,139.22784423828125,,,,,,,,,,0.2500572204589844,0.1104564443230629,0.11675321310758591,0.8427985310554504,0.24678649008274078,0.08080970495939255,0.14385628700256348,0.5238396525382996,157.8259735107422,0.2564264237880707,0.08571248657313958,0.1855458766222,0.06711690894226763,0.24528536200523376,0.08442324978783745,0.6958072185516357,0.22426073370327684,,,0.24796195328235626,0.0852451318509452
4,0.2849375,,0.12580001,,0.12924536,,0.96586025,,0.28041488,,0.09565355,,0.1593757,,0.59589416,,168.8687,,0.26597938,,0.08867831230163574,,0.1179141,,0.036638502,,0.062437322,,0.27671418,,0.118065506,,0.031790126,,0.07374072,,0.1997433,,128.32013,,0.13681078,,0.04916242122650147,,0.21694578,,0.100490086,,0.10200243,,0.77823937,,0.2115114,,0.072087586,,0.1265516,,0.4441133,,120.12197,,0.2616723,,0.09144886970520019,,0.18585913,,0.07411926,,0.087947704,,0.5574072,,0.18411757,,0.055225,,0.10928397,,0.35914528,,106.259766,,0.19250272,,0.06775666236877441,,0.15066624,,0.05186114,,0.08722954,,0.32751638,,0.1510772,,0.043535795,,0.09587593,,0.26303828,,37.61239,,0.2107896,,0.11938121795654297,,0.17099231,,0.06631832,,0.087497056,,0.4824352,,0.16960545,,0.051941168,,0.10320334,,0.32180113,,92.71848,,0.20404625,,0.087139892578125,,2009-06-05,0.2950783371925354,0.13083332777023315,0.13332749903202057,1.0074926614761353,0.29050928354263306,0.09897106140851974,0.16464227437973022,0.6186739802360535,170.03721618652344,0.1634199470281601,0.05827219411730766,0.08373869955539703,0.4537009298801422,0.16308286786079407,0.04548705369234085,0.10067956149578094,0.302187979221344,148.5258331298828,0.19572603702545166,0.07875315845012665,0.10315448045730591,0.6496505737304688,0.18994280695915222,0.05430663377046585,0.12554684281349182,0.37944918870925903,136.21176147460938,0.5869276523590088,0.4122960567474365,0.22893881797790527,2.760772228240967,0.5869348049163818,0.21988984942436218,0.306143581867218,1.7371187210083008,137.11917114257812,,,,,,,,,,0.25054216384887695,0.1108296662569046,0.11703812330961227,0.8465061187744141,0.247291699051857,0.08037818223237991,0.14423717558383942,0.5260077118873596,157.5863800048828,0.276215523481369,0.0920511644740202,0.21366901695728302,0.07642989739328812,0.26303181052207947,0.09147991188645165,0.6828846335411072,0.2280457576495928,,,0.26894915103912354,0.0922222970081657
5,0.28584895,,0.1252011,,0.1296214,,0.96359926,,0.2812924,,0.09541559,,0.1600541,,0.59388417,,169.82906,,0.25661814,,0.08565309524536133,,0.11854692,,0.036859132,,0.062817335,,0.27829817,,0.11871903,,0.03199087,,0.0742086,,0.20076379,,128.33736,,0.13490756,,0.04780940055847168,,0.21648489,,0.098102495,,0.10195627,,0.7553182,,0.21081398,,0.07161658,,0.12635149,,0.4407199,,119.14454,,0.2518042,,0.08810153961181641,,0.18451864,,0.073674195,,0.08770006,,0.557507,,0.18294518,,0.054877996,,0.10857226,,0.35579956,,106.00177,,0.1900237,,0.06629117488861085,,0.1518913,,0.052214496,,0.088285595,,0.33078468,,0.15239888,,0.043675467,,0.09690605,,0.26517317,,37.392174,,0.20112675,,0.1144720458984375,,0.1713315,,0.06614581,,0.08791989,,0.48207214,,0.16992523,,0.051809385,,0.10356251,,0.32184044,,92.708496,,0.19603397,,0.0837341594696045,,2009-06-06,0.29605385661125183,0.13005250692367554,0.13376232981681824,1.0035300254821777,0.29143694043159485,0.09865982085466385,0.16539473831653595,0.6163285374641418,171.07164001464844,0.1640845388174057,0.05881526693701744,0.08423113077878952,0.458396315574646,0.16365423798561096,0.04577089846134186,0.10115925222635269,0.3028236925601959,148.4654541015625,0.19614620506763458,0.0783337876200676,0.10348666459321976,0.6446195840835571,0.19022192060947418,0.053572945296764374,0.12625423073768616,0.38391759991645813,135.37376403808594,0.5838698148727417,0.41061562299728394,0.22794035077095032,2.7748703956604004,0.5834957361221313,0.21368688344955444,0.303288996219635,1.7391467094421387,137.79254150390625,,,,,,,,,,0.2512054741382599,0.110480897128582,0.11742742359638214,0.8457341194152832,0.24786876142024994,0.07999182492494583,0.14477317035198212,0.5256689786911011,158.01223754882812,0.26127108931541443,0.08772014565871132,0.21581920981407166,0.07374308191244382,0.27388158440589905,0.08684359044817541,0.867094874382019,0.27145602696155036,,,0.2697465419769287,0.09017433528346373
6,0.28674316,,0.12464447,,0.13058108,,0.962089,,0.2820556,,0.09517489,,0.16104265,,0.5929374,,170.12724,,0.27506682,,0.09076744079589844,,0.119200855,,0.03796156,,0.06319152,,0.29169893,,0.119360074,,0.03222153,,0.0746033,,0.20267756,,128.8957,,0.13587311,,0.04812173843383789,,0.21664798,,0.09810403,,0.10166288,,0.756072,,0.21122722,,0.0719418,,0.12612519,,0.44030446,,118.462296,,0.24587724,,0.08528749465942383,,0.18308772,,0.071331576,,0.088489525,,0.53152686,,0.18165554,,0.0539699,,0.108615994,,0.35064697,,105.91696,,0.18363775,,0.06398870944976806,,0.15107289,,0.050512247,,0.08805363,,0.32100973,,0.15171492,,0.042825,,0.096767865,,0.26004902,,37.51686,,0.19568013,,0.11095481872558594,,0.17117666,,0.06547148,,0.08811773,,0.47791526,,0.16986649,,0.05150931,,0.10370805,,0.32000354,,92.880684,,0.1920569,,0.08201108932495117,,2009-06-07,0.2970041334629059,0.12949179112911224,0.1349048763513565,1.0034230947494507,0.2923010587692261,0.09841009229421616,0.1664624959230423,0.614905059337616,171.28546142578125,0.16473890841007233,0.06268037855625153,0.08451355993747711,0.5064967274665833,0.16411283612251282,0.04618843272328377,0.10162188857793808,0.3073457181453705,149.90333557128906,0.19686952233314514,0.08536775410175323,0.10367511212825775,0.7355635762214661,0.19031932950019836,0.05428939685225487,0.1266610324382782,0.39145392179489136,134.4618377685547,0.5805630683898926,0.4186762571334839,0.22612489759922028,2.833733081817627,0.5829856395721436,0.2106417715549469,0.3008863925933838,1.7232437133789062,141.13031005859375,,,,,,,,,,0.25188490748405457,0.1126319020986557,0.11806917190551758,0.8750806450843811,0.24845460057258606,0.07998482882976532,0.14544185996055603,0.5268170833587646,158.5649871826172,0.275249183177948,0.09156946154683965,0.23576368391513824,0.08273616833664675,0.33990147709846497,0.11206598793219655,0.8398495316505432,0.2524723967775071,,,0.2912074327468872,0.09810069275420119
7,0.28734773,,0.12377585,,0.13131458,,0.9492517,,0.28262022,,0.09485239,,0.16200812,,0.5900715,,170.00778,,0.27411327,,0.09336935043334961,,0.119765244,,0.03804985,,0.06336485,,0.29283804,,0.11993129,,0.032408506,,0.074974865,,0.20309131,,129.67885,,0.12827377,,0.04639553070068359,,0.21659319,,0.09815481,,0.101384915,,0.7611011,,0.21119486,,0.07182753,,0.12577106,,0.4379056,,118.47873,,0.24856111,,0.08414456367492676,,0.18167415,,0.06973435,,0.08840622,,0.50966954,,0.1802694,,0.053549163,,0.108145595,,0.3487676,,104.1733,,0.17196643,,0.059592304229736326,,0.1502568,,0.04857781,,0.087965354,,0.31326267,,0.15128043,,0.042349387,,0.096421905,,0.2539579,,36.876087,,0.19551024,,0.11064342498779296,,0.1710617,,0.06473823,,0.08814644,,0.47293478,,0.16983949,,0.051370643,,0.103704,,0.31799108,,92.93982,,0.18876597,,0.0805660629272461,,2009-06-08,0.2976510524749756,0.1286287009716034,0.13565240800380707,0.9899460673332214,0.2929076850414276,0.098121277987957,0.1674555540084839,0.6121634244918823,171.2506561279297,0.16546648740768433,0.06244250386953354,0.08476804941892624,0.5077983736991882,0.1648542582988739,0.04637361317873001,0.10230553150177002,0.30661138892173767,150.04217529296875,0.19782032072544098,0.08699500560760498,0.10321798920631409,0.7464954853057861,0.19108499586582184,0.054623741656541824,0.1266050934791565,0.3976518213748932,133.84268188476562,0.5813938975334167,0.424713134765625,0.22813503444194794,2.770590305328369,0.5842610597610474,0.21402081847190857,0.30454903841018677,1.7928932905197144,139.85733032226562,,,,,,,,,,0.25260457396507263,0.11254063993692398,0.1185431033372879,0.867811381816864,0.24914810061454773,0.08005578070878983,0.14628861844539642,0.5284221172332764,158.4625244140625,0.27827173471450806,0.09552757074686724,0.21160416305065155,0.0747098128561646,0.292651891708374,0.09160681628867678,0.6278660297393799,0.19045205299739337,,,0.2714689075946808,0.09253472082803568
8,0.2880985,,0.12294308,,0.13110183,,0.93454844,,0.28320393,,0.09474164,,0.1625047,,0.593296,,169.6448,,0.25302538,,0.08392006874084473,,0.12030395,,0.03816,,0.06349051,,0.29338777,,0.12044182,,0.032647464,,0.075249344,,0.20463648,,129.72517,,0.12511043,,0.04771492958068848,,0.21678984,,0.09773476,,0.10132341,,0.75568295,,0.2116804,,0.071811385,,0.12570919,,0.43789008,,118.77158,,0.24010928,,0.07853917598724365,,0.18082564,,0.06850465,,0.08836215,,0.4963276,,0.17933246,,0.053278487,,0.10809388,,0.3457017,,103.66995,,0.1830966,,0.06249756336212158,,0.15057121,,0.049078193,,0.0883285,,0.31203055,,0.15146963,,0.043006472,,0.09660452,,0.2555977,,36.0491,,0.19362645,,0.10977933883666992,,0.17136113,,0.06464827,,0.0883361,,0.46914503,,0.17013638,,0.051593184,,0.10395268,,0.31854722,,92.78343,,0.18629117,,0.07988521099090576,,2009-06-09,0.29834333062171936,0.12781885266304016,0.13522212207317352,0.9735013246536255,0.2934693694114685,0.09811132401227951,0.16785141825675964,0.616074800491333,170.9326171875,0.16591285169124603,0.06312373280525208,0.08475717157125473,0.5113866925239563,0.16521944105625153,0.046803683042526245,0.10244618356227875,0.31047070026397705,150.55068969726562,0.19947265088558197,0.08845066279172897,0.10420714318752289,0.7612078189849854,0.19256851077079773,0.05520028620958328,0.12743894755840302,0.4065498411655426,136.9073486328125,0.5804623365402222,0.41768258810043335,0.22737085819244385,2.687883138656616,0.5821679830551147,0.22360938787460327,0.30383267998695374,1.7721185684204102,138.12396240234375,,,,,,,,,,0.25329357385635376,0.11228849738836288,0.11842463165521622,0.859557032585144,0.24968107044696808,0.08059550821781158,0.1466253399848938,0.5321367383003235,158.81199645996094,0.2576809823513031,0.0860046550372715,0.20043383538722992,0.07520405282745628,0.21173475682735443,0.0690839002628303,0.5095556378364563,0.15416913487484862,,,0.242274671792984,0.08349707324296105
9,0.2889132,,0.12308294,,0.13131051,,0.93989694,,0.28407243,,0.09501107,,0.16277277,,0.5942478,,170.16835,,0.26276457,,0.08494258880615234,,0.120731495,,0.038112525,,0.0635335,,0.29322177,,0.120986715,,0.03269433,,0.07541046,,0.20443618,,129.84929,,0.1343637,,0.052865486145019534,,0.21666396,,0.09782605,,0.10140841,,0.7577874,,0.21121953,,0.07143348,,0.12595297,,0.43797043,,118.45478,,0.2440885,,0.08062615394592285,,0.1800339,,0.06808542,,0.0884001,,0.49440947,,0.17848322,,0.053050444,,0.108138286,,0.34446684,,104.40864,,0.17214788,,0.058530325889587405,,0.1501169,,0.04796485,,0.0882564,,0.30512464,,0.15120938,,0.042693254,,0.09624614,,0.25225198,,35.338783,,0.2014612,,0.11474294662475586,,0.17137885,,0.064248234,,0.08840688,,0.46788523,,0.17019667,,0.051446155,,0.1040266,,0.31762987,,92.97243,,0.18975252,,0.08205415725708008,,2009-06-10,0.29920968413352966,0.12808331847190857,0.13546249270439148,0.9796143174171448,0.29436442255973816,0.09840945899486542,0.16810092329978943,0.6174980998039246,171.1797332763672,0.16602838039398193,0.06254301965236664,0.08464846014976501,0.5087563395500183,0.16567304730415344,0.046548180282115936,0.10234168916940689,0.3069238066673279,148.88125610351562,0.20123711228370667,0.08950231969356537,0.10424615442752838,0.7698262333869934,0.1940872222185135,0.05631982535123825,0.1277308315038681,0.4109765589237213,138.4163818359375,0.5786573886871338,0.4244685173034668,0.22895492613315582,2.7061996459960938,0.5792053937911987,0.23758357763290405,0.3019120693206787,1.8098256587982178,139.28289794921875,,,,,,,,,,0.2539539635181427,0.112621009349823,0.1185750663280487,0.8636958599090576,0.2503887116909027,0.08130545914173126,0.146694615483284,0.5336684584617615,158.66172790527344,0.27280282974243164,0.08847283074017469,0.23477885127067566,0.08316875834857114,0.29950016736984253,0.09708572400086724,0.4938853681087494,0.1445432085167471,,,0.27217790484428406,0.09051564118851729
