,Nordost,Korall,Tasman,Süden,Südozean,time
0,0.31290236,0.17521754,0.22568482,0.72717476,,2009-06-01
1,0.32189634,0.17752396,0.23375648,0.65771574,,2009-06-02
2,0.34492278,0.17109056,0.25539967,0.70913535,,2009-06-03
3,0.36345592,0.17979182,0.24271877,0.9095899,,2009-06-04
4,0.3727314,0.22796847,0.26827434,0.88534456,,2009-06-05
5,0.3453271,0.21060249,0.26105535,0.73635864,,2009-06-06
6,0.37425992,0.2220409,0.2945959,0.7231323,,2009-06-07
7,0.36728138,0.20321713,0.26135334,0.7484931,,2009-06-08
8,0.36824524,0.1976767,0.20918803,0.59140337,,2009-06-09
9,0.38489938,0.22526899,0.28967032,0.53730696,,2009-06-10
10,0.3910466,0.20414218,0.22173978,0.7940737,,2009-06-11
11,0.3743678,0.23730403,0.27042595,0.7616068,,2009-06-12
12,0.3872754,0.18850634,0.23045589,0.5898016,,2009-06-13
13,0.39804024,0.18777902,0.2279142,0.59096676,,2009-06-14
14,0.36826295,0.17401049,0.2345228,0.62897927,,2009-06-15
15,0.38078254,0.1964282,0.23554933,0.6945612,,2009-06-16
16,0.3623055,0.19059525,0.21157363,0.81817925,,2009-06-17
17,0.41534746,0.17246766,0.20372823,0.9806917,,2009-06-18
18,0.40115473,0.17646937,0.23411219,0.9139132,,2009-06-19
19,0.41995206,0.17789912,0.21697384,0.75481886,,2009-06-20
20,0.4199379,0.17028525,0.22555257,0.9183625,,2009-06-21
21,0.4014332,0.17823938,0.24440052,0.8269221,,2009-06-22
22,0.38894457,0.18916675,0.2704594,0.70613706,,2009-06-23
23,0.3911177,0.18606621,0.2739455,0.6344892,,2009-06-24
24,0.3709717,0.18120772,0.26643518,0.5599786,,2009-06-25
25,0.379069,0.18414058,0.27544224,0.48585746,,2009-06-26
26,0.38383338,0.18883096,0.2451017,0.6868,,2009-06-27
27,0.38687307,0.19462623,0.23743327,0.81863594,,2009-06-28
28,0.3771576,0.20569725,0.26505038,0.78316766,,2009-06-29
29,0.38076007,0.20999931,0.31162375,0.53209764,,2009-06-30
30,0.32908767,0.20790167,0.27303946,0.523015,,2009-07-01
31,0.34407538,0.20373711,0.26966923,0.4664219,,2009-07-02
32,0.34358838,0.23689905,0.23112267,0.3962573,,2009-07-03
33,0.38152748,0.21130475,0.19059649,0.38929582,,2009-07-04
34,0.3735419,0.21071608,0.186103,0.5388294,,2009-07-05
35,0.37798196,0.18750937,0.1977919,0.56804246,,2009-07-06
36,0.37496352,0.18510471,0.19502075,0.61013895,,2009-07-07
37,0.3727413,0.17893773,0.20452158,0.6887301,,2009-07-08
38,0.36213163,0.1765575,0.17502967,0.73565775,,2009-07-09
39,0.36806986,0.19241309,0.19071698,0.74376345,,2009-07-10
40,0.36201617,0.19929197,0.22406548,0.52980757,,2009-07-11
41,0.35072038,0.19486389,0.25568506,0.51854795,,2009-07-12
42,0.36270478,0.19348224,0.22904512,0.50101644,,2009-07-13
43,0.3221207,0.19315162,0.21979344,0.47301254,,2009-07-14
44,0.3205914,0.20017596,0.22896825,0.5666821,,2009-07-15
45,0.32291082,0.21275735,0.24131623,0.5785029,,2009-07-16
